Jun 29 20:00:00 dnsmasq[210]: config 10.1.1.92 is NXDOMAIN
Jun 29 20:08:50 dnsmasq[210]: query[A] m.glassesusa.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[A] connectivitycheck.gstatic.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[A] www.google.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[A] mtalk.google.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[A] www.glassesusa.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[A] epdg.epc.mnc260.mcc310.pub.3gppnetwork.org from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[A] www.glassesusa.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[HTTPS] www.glassesusa.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[A] m.glassesusa.com from 10.1.1.92
Jun 29 20:09:28 dnsmasq[210]: query[HTTPS] m.glassesusa.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] www.googletagmanager.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] www.googletagmanager.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] www.googletagmanager.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] www.google-analytics.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] www.google-analytics.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] www.google-analytics.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] optimaxweb.glassesusa.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] optimaxweb.glassesusa.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] optimaxweb.glassesusa.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] cdn.speedcurve.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] cdn.speedcurve.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] cdn.speedcurve.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] acsbapp.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] acsbapp.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] acsbapp.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] d.impactradius-event.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] d.impactradius-event.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] d.impactradius-event.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] cdn26.vizury.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] cdn26.vizury.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] cdn26.vizury.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] a.nel.cloudflare.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] a.nel.cloudflare.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] a.nel.cloudflare.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[AAAA] content-autofill.googleapis.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[A] content-autofill.googleapis.com from 10.1.1.92
Jun 29 20:09:30 dnsmasq[210]: query[HTTPS] content-autofill.googleapis.com from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[AAAA] o100932.ingest.sentry.io from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[A] o100932.ingest.sentry.io from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[HTTPS] o100932.ingest.sentry.io from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[AAAA] analytic.rollout.io from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[A] analytic.rollout.io from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[HTTPS] analytic.rollout.io from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[AAAA] direct.dy-api.com from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[A] direct.dy-api.com from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[HTTPS] direct.dy-api.com from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[AAAA] colrep.sitelabweb.com from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[A] colrep.sitelabweb.com from 10.1.1.92
Jun 29 20:09:31 dnsmasq[210]: query[HTTPS] colrep.sitelabweb.com from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[AAAA] rollout.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[A] rollout.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[HTTPS] rollout.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[AAAA] static.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[A] static.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[HTTPS] static.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[AAAA] gusa.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[A] gusa.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[HTTPS] gusa.ada.support from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[AAAA] m.glassesusa.com from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[A] m.glassesusa.com from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[HTTPS] m.glassesusa.com from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[AAAA] gs.nmgassets.com from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[A] gs.nmgassets.com from 10.1.1.92
Jun 29 20:09:32 dnsmasq[210]: query[HTTPS] gs.nmgassets.com from 10.1.1.92
Jun 29 20:09:35 dnsmasq[210]: query[AAAA] us-pl.vizury.com from 10.1.1.92
Jun 29 20:09:35 dnsmasq[210]: query[A] us-pl.vizury.com from 10.1.1.92
