Jun 28 19:02:57 dnsmasq[210]: query[A] bundle-public-assets.s3.amazonaws.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[HTTPS] bundle-public-assets.s3.amazonaws.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[AAAA] static.klaviyo.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[A] static.klaviyo.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[HTTPS] static.klaviyo.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[AAAA] a.nel.cloudflare.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[A] a.nel.cloudflare.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[HTTPS] a.nel.cloudflare.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[AAAA] fonts.googleapis.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[A] fonts.googleapis.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[HTTPS] fonts.googleapis.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[AAAA] maps.gstatic.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[A] maps.gstatic.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[HTTPS] maps.gstatic.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[AAAA] fonts.gstatic.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[A] fonts.gstatic.com from 10.1.1.92
Jun 28 19:02:57 dnsmasq[210]: query[HTTPS] fonts.gstatic.com from 10.1.1.92
Jun 28 19:03:03 dnsmasq[210]: query[AAAA] tools.usps.com from 10.1.1.92
Jun 28 19:03:03 dnsmasq[210]: query[A] tools.usps.com from 10.1.1.92
Jun 28 19:03:03 dnsmasq[210]: query[HTTPS] tools.usps.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[AAAA] www.googleoptimize.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[A] www.googleoptimize.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[HTTPS] www.googleoptimize.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[AAAA] js.arcgis.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[A] js.arcgis.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[HTTPS] js.arcgis.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[AAAA] fast.fonts.net from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[A] fast.fonts.net from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[HTTPS] fast.fonts.net from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[AAAA] www.usps.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[A] www.usps.com from 10.1.1.92
Jun 28 19:03:04 dnsmasq[210]: query[HTTPS] www.usps.com from 10.1.1.92
Jun 28 19:03:05 dnsmasq[210]: query[AAAA] www.googletagmanager.com from 10.1.1.92
Jun 28 19:03:05 dnsmasq[210]: query[A] www.googletagmanager.com from 10.1.1.92
Jun 28 19:03:05 dnsmasq[210]: query[HTTPS] www.googletagmanager.com from 10.1.1.92
Jun 28 19:03:06 dnsmasq[210]: query[AAAA] content-autofill.googleapis.com from 10.1.1.92
Jun 28 19:03:06 dnsmasq[210]: query[A] content-autofill.googleapis.com from 10.1.1.92
Jun 28 19:03:06 dnsmasq[210]: query[HTTPS] content-autofill.googleapis.com from 10.1.1.92
Jun 28 19:03:06 dnsmasq[210]: query[AAAA] clients4.google.com from 10.1.1.92
Jun 28 19:03:06 dnsmasq[210]: query[A] clients4.google.com from 10.1.1.92
Jun 28 19:03:06 dnsmasq[210]: query[HTTPS] clients4.google.com from 10.1.1.92
Jun 28 19:04:54 dnsmasq[210]: query[AAAA] firebase-settings.crashlytics.com from 10.1.1.92
Jun 28 19:13:20 dnsmasq[210]: query[AAAA] geller-pa.googleapis.com from 10.1.1.92
Jun 28 19:14:50 dnsmasq[210]: query[AAAA] www.google.com from 10.1.1.92
Jun 28 19:14:50 dnsmasq[210]: query[AAAA] connectivitycheck.gstatic.com from 10.1.1.92
Jun 28 19:14:50 dnsmasq[210]: query[A] connectivitycheck.gstatic.com from 10.1.1.92
Jun 28 19:14:50 dnsmasq[210]: query[A] www.google.com from 10.1.1.92
Jun 28 19:14:50 dnsmasq[210]: query[A] epdg.epc.mnc260.mcc310.pub.3gppnetwork.org from 10.1.1.92
Jun 28 19:14:56 dnsmasq[210]: query[A] mtalk.google.com from 10.1.1.92
Jun 28 19:15:31 dnsmasq[210]: query[AAAA] semanticlocation-pa.googleapis.com from 10.1.1.92
Jun 28 19:15:31 dnsmasq[210]: query[AAAA] mqtt-mini.facebook.com from 10.1.1.92
Jun 28 19:39:01 dnsmasq[210]: query[A] connectivitycheck.gstatic.com from 10.1.1.92
Jun 28 19:39:01 dnsmasq[210]: query[A] www.google.com from 10.1.1.92
Jun 28 19:39:01 dnsmasq[210]: query[A] epdg.epc.mnc260.mcc310.pub.3gppnetwork.org from 10.1.1.92
Jun 28 19:41:22 dnsmasq[210]: query[AAAA] en.m.wikipedia.org from 10.1.1.92
Jun 28 19:41:22 dnsmasq[210]: query[A] en.m.wikipedia.org from 10.1.1.92
Jun 28 19:41:22 dnsmasq[210]: query[HTTPS] en.m.wikipedia.org from 10.1.1.92
Jun 28 19:41:22 dnsmasq[210]: query[AAAA] www.google.com from 10.1.1.92
Jun 28 19:41:22 dnsmasq[210]: query[A] www.google.com from 10.1.1.92
Jun 28 19:41:22 dnsmasq[210]: query[HTTPS] www.google.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] www.wearlively.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] www.wearlively.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] www.wearlively.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] qoe-1.yottaa.net from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] qoe-1.yottaa.net from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] qoe-1.yottaa.net from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] crossborder-integration.global-e.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] crossborder-integration.global-e.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] crossborder-integration.global-e.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] cdn.shopify.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] cdn.shopify.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] cdn.shopify.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] rapid-cdn.yottaa.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] rapid-cdn.yottaa.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] rapid-cdn.yottaa.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] cdn1.stamped.io from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] cdn1.stamped.io from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] cdn1.stamped.io from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] fonts.googleapis.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] fonts.googleapis.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] fonts.googleapis.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[AAAA] ajax.googleapis.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[A] ajax.googleapis.com from 10.1.1.92
Jun 28 19:41:29 dnsmasq[210]: query[HTTPS] ajax.googleapis.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] www.wearlively.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] www.wearlively.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] www.wearlively.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] crossborder-integration.global-e.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] crossborder-integration.global-e.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] crossborder-integration.global-e.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] www.google.com from 10.1.1.92
