Mar 11 08:08:14 dnsmasq[33486]: query[AAAA] i.instagram.com from 10.1.1.92
Mar 11 08:08:14 dnsmasq[33486]: query[A] i.instagram.com from 10.1.1.92
Mar 11 08:08:42 dnsmasq[33486]: query[AAAA] pull-flv-f77-tt02.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:08:42 dnsmasq[33486]: query[A] pull-flv-f77-tt02.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:08:42 dnsmasq[33486]: query[AAAA] pull-f5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:08:42 dnsmasq[33486]: query[A] pull-f5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:08:42 dnsmasq[33486]: query[AAAA] pull-a5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:08:42 dnsmasq[33486]: query[A] pull-a5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:08:42 dnsmasq[33486]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:08:50 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:08:50 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:09:57 dnsmasq[33486]: query[AAAA] bsync.us.tiktokv.com from 10.1.1.92
Mar 11 08:09:57 dnsmasq[33486]: query[A] bsync.us.tiktokv.com from 10.1.1.92
Mar 11 08:10:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:10:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:10:10 dnsmasq[33486]: query[AAAA] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:10:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] sdk-api-v1.singular.net from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] sdk-api-v1.singular.net from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] ads.aerserv.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] ads.aerserv.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] go.microsoft.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] maps.googleapis.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] 92ab.playfabapi.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] go.microsoft.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] ads.inmobi.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] maps.googleapis.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] ads.inmobi.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] 92ab.playfabapi.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] api.taboola.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] api.taboola.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] events.aerserv.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] events.aerserv.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] download-ssl.msgamestudios.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] download-ssl.msgamestudios.com from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[AAAA] googleads.g.doubleclick.net from 10.1.1.92
Mar 11 08:10:41 dnsmasq[33486]: query[A] googleads.g.doubleclick.net from 10.1.1.92
Mar 11 08:10:43 dnsmasq[33486]: query[AAAA] ads.inmobi.com from 10.1.1.92
Mar 11 08:10:43 dnsmasq[33486]: query[A] ads.inmobi.com from 10.1.1.92
Mar 11 08:10:43 dnsmasq[33486]: query[AAAA] events.aerserv.com from 10.1.1.92
Mar 11 08:10:43 dnsmasq[33486]: query[A] events.aerserv.com from 10.1.1.92
Mar 11 08:10:43 dnsmasq[33486]: query[AAAA] in.appcenter.ms from 10.1.1.92
Mar 11 08:10:44 dnsmasq[33486]: query[A] in.appcenter.ms from 10.1.1.92
Mar 11 08:10:44 dnsmasq[33486]: query[AAAA] config.inmobi.com from 10.1.1.92
Mar 11 08:10:44 dnsmasq[33486]: query[A] config.inmobi.com from 10.1.1.92
Mar 11 08:10:45 dnsmasq[33486]: query[AAAA] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:10:45 dnsmasq[33486]: query[A] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:10:50 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:10:50 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:10:53 dnsmasq[33486]: query[A] in.appcenter.ms from 10.1.1.92
Mar 11 08:11:41 dnsmasq[33486]: query[AAAA] ads.aerserv.com from 10.1.1.92
Mar 11 08:11:41 dnsmasq[33486]: query[A] ads.aerserv.com from 10.1.1.92
Mar 11 08:11:44 dnsmasq[33486]: query[AAAA] config.inmobi.com from 10.1.1.92
Mar 11 08:11:44 dnsmasq[33486]: query[A] config.inmobi.com from 10.1.1.92
Mar 11 08:12:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:12:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:12:41 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:12:41 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:12:41 dnsmasq[33486]: query[AAAA] ads.aerserv.com from 10.1.1.92
Mar 11 08:12:41 dnsmasq[33486]: query[A] ads.aerserv.com from 10.1.1.92
Mar 11 08:12:44 dnsmasq[33486]: query[AAAA] config.inmobi.com from 10.1.1.92
Mar 11 08:12:44 dnsmasq[33486]: query[A] config.inmobi.com from 10.1.1.92
Mar 11 08:12:50 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:12:50 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:12:53 dnsmasq[33486]: query[AAAA] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:12:53 dnsmasq[33486]: query[A] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:13:03 dnsmasq[33486]: query[AAAA] mapps.kohls.com from 10.1.1.92
Mar 11 08:13:03 dnsmasq[33486]: query[AAAA] bf27853irn.bf.dynatrace.com from 10.1.1.92
Mar 11 08:13:03 dnsmasq[33486]: query[A] bf27853irn.bf.dynatrace.com from 10.1.1.92
Mar 11 08:13:03 dnsmasq[33486]: query[A] mapps.kohls.com from 10.1.1.92
Mar 11 08:13:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:13:11 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:13:11 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:13:11 dnsmasq[33486]: query[AAAA] gnpfesdk-pa.googleapis.com from 10.1.1.92
Mar 11 08:13:11 dnsmasq[33486]: query[A] gnpfesdk-pa.googleapis.com from 10.1.1.92
Mar 11 08:13:13 dnsmasq[33486]: query[AAAA] slackb.com from 10.1.1.92
Mar 11 08:13:13 dnsmasq[33486]: query[A] slackb.com from 10.1.1.92
Mar 11 08:13:18 dnsmasq[33486]: query[AAAA] slackb.com from 10.1.1.92
Mar 11 08:13:18 dnsmasq[33486]: query[A] slackb.com from 10.1.1.92
Mar 11 08:13:33 dnsmasq[33486]: query[AAAA] slack.com from 10.1.1.92
Mar 11 08:13:33 dnsmasq[33486]: query[A] slack.com from 10.1.1.92
Mar 11 08:13:44 dnsmasq[33486]: query[AAAA] config.inmobi.com from 10.1.1.92
Mar 11 08:13:44 dnsmasq[33486]: query[A] config.inmobi.com from 10.1.1.92
Mar 11 08:13:50 dnsmasq[33486]: query[AAAA] slackb.com from 10.1.1.92
Mar 11 08:13:50 dnsmasq[33486]: query[A] slackb.com from 10.1.1.92
Mar 11 08:14:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:14:11 dnsmasq[33486]: query[AAAA] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:14:11 dnsmasq[33486]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:14:24 dnsmasq[33486]: query[AAAA] slackb.com from 10.1.1.92
Mar 11 08:14:24 dnsmasq[33486]: query[A] slackb.com from 10.1.1.92
Mar 11 08:14:50 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:14:50 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:14:58 dnsmasq[33486]: query[A] www.google.com from 10.1.1.92
Mar 11 08:14:58 dnsmasq[33486]: query[AAAA] www.google.com from 10.1.1.92
Mar 11 08:15:00 dnsmasq[33486]: query[AAAA] geller-pa.googleapis.com from 10.1.1.92
Mar 11 08:15:00 dnsmasq[33486]: query[A] geller-pa.googleapis.com from 10.1.1.92
Mar 11 08:15:02 dnsmasq[33486]: query[AAAA] slackb.com from 10.1.1.92
Mar 11 08:15:02 dnsmasq[33486]: query[A] slackb.com from 10.1.1.92
Mar 11 08:15:03 dnsmasq[33486]: query[A] dl.google.com from 10.1.1.92
Mar 11 08:15:03 dnsmasq[33486]: query[AAAA] dl.google.com from 10.1.1.92
Mar 11 08:15:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:15:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:15:11 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:15:11 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:15:12 dnsmasq[33486]: query[AAAA] i.instagram.com from 10.1.1.92
Mar 11 08:15:12 dnsmasq[33486]: query[A] i.instagram.com from 10.1.1.92
Mar 11 08:15:17 dnsmasq[33486]: query[AAAA] android-context-data.googleapis.com from 10.1.1.92
Mar 11 08:15:17 dnsmasq[33486]: query[A] android-context-data.googleapis.com from 10.1.1.92
Mar 11 08:15:41 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:15:41 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:15:41 dnsmasq[33486]: query[AAAA] graph.facebook.com from 10.1.1.92
Mar 11 08:15:41 dnsmasq[33486]: query[A] graph.facebook.com from 10.1.1.92
Mar 11 08:16:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:16:51 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:16:51 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:17:06 dnsmasq[33486]: query[AAAA] play.googleapis.com from 10.1.1.92
Mar 11 08:17:06 dnsmasq[33486]: query[A] play.googleapis.com from 10.1.1.92
Mar 11 08:17:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:17:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:17:25 dnsmasq[33486]: query[AAAA] sdk-api-v1.singular.net from 10.1.1.92
Mar 11 08:17:25 dnsmasq[33486]: query[A] sdk-api-v1.singular.net from 10.1.1.92
Mar 11 08:17:29 dnsmasq[33486]: query[AAAA] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:17:29 dnsmasq[33486]: query[A] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:17:41 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:17:41 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:18:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:18:11 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:18:11 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:18:20 dnsmasq[33486]: query[AAAA] sdk-api-v1.singular.net from 10.1.1.92
Mar 11 08:18:20 dnsmasq[33486]: query[A] sdk-api-v1.singular.net from 10.1.1.92
Mar 11 08:18:51 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:18:51 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:19:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:19:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:19:18 dnsmasq[33486]: query[A] android-context-data.googleapis.com from 10.1.1.92
Mar 11 08:19:57 dnsmasq[33486]: query[AAAA] bsync.us.tiktokv.com from 10.1.1.92
Mar 11 08:19:57 dnsmasq[33486]: query[A] bsync.us.tiktokv.com from 10.1.1.92
Mar 11 08:20:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:20:11 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:20:11 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:20:29 dnsmasq[33486]: query[AAAA] ads.inmobi.com from 10.1.1.92
Mar 11 08:20:29 dnsmasq[33486]: query[A] ads.inmobi.com from 10.1.1.92
Mar 11 08:20:29 dnsmasq[33486]: query[AAAA] api.taboola.com from 10.1.1.92
Mar 11 08:20:29 dnsmasq[33486]: query[A] api.taboola.com from 10.1.1.92
Mar 11 08:20:29 dnsmasq[33486]: query[AAAA] events.aerserv.com from 10.1.1.92
Mar 11 08:20:29 dnsmasq[33486]: query[A] events.aerserv.com from 10.1.1.92
Mar 11 08:20:32 dnsmasq[33486]: query[AAAA] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:20:32 dnsmasq[33486]: query[A] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:20:32 dnsmasq[33486]: query[AAAA] config.inmobi.com from 10.1.1.92
Mar 11 08:20:32 dnsmasq[33486]: query[A] config.inmobi.com from 10.1.1.92
Mar 11 08:20:41 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:20:41 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:20:51 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:20:51 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:21:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:21:32 dnsmasq[33486]: query[AAAA] config.inmobi.com from 10.1.1.92
Mar 11 08:21:32 dnsmasq[33486]: query[A] config.inmobi.com from 10.1.1.92
Mar 11 08:22:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:22:32 dnsmasq[33486]: query[AAAA] config.inmobi.com from 10.1.1.92
Mar 11 08:22:32 dnsmasq[33486]: query[A] config.inmobi.com from 10.1.1.92
Mar 11 08:22:41 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:22:41 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:22:51 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:22:51 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:23:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:11 dnsmasq[33486]: query[AAAA] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:23:11 dnsmasq[33486]: query[A] telemetry.sdk.inmobi.com from 10.1.1.92
Mar 11 08:23:20 dnsmasq[33486]: query[AAAA] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:23:20 dnsmasq[33486]: query[A] self.events.data.microsoft.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[AAAA] i.instagram.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[A] i.instagram.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[AAAA] gateway.instagram.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[AAAA] edge-mqtt.facebook.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[A] edge-mqtt.facebook.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[A] gateway.instagram.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[AAAA] z-p42-chat-e2ee-ig.facebook.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[AAAA] web.facebook.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[A] web.facebook.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[A] z-p42-chat-e2ee-ig.facebook.com from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[AAAA] instagram.fslc3-1.fna.fbcdn.net from 10.1.1.92
Mar 11 08:23:22 dnsmasq[33486]: query[A] instagram.fslc3-1.fna.fbcdn.net from 10.1.1.92
Mar 11 08:23:23 dnsmasq[33486]: query[AAAA] scontent.cdninstagram.com from 10.1.1.92
Mar 11 08:23:23 dnsmasq[33486]: query[A] scontent.cdninstagram.com from 10.1.1.92
Mar 11 08:23:23 dnsmasq[33486]: query[AAAA] instagram.fslc3-2.fna.fbcdn.net from 10.1.1.92
Mar 11 08:23:23 dnsmasq[33486]: query[A] instagram.fslc3-2.fna.fbcdn.net from 10.1.1.92
Mar 11 08:23:24 dnsmasq[33486]: query[AAAA] lamssettings-pa.googleapis.com from 10.1.1.92
Mar 11 08:23:24 dnsmasq[33486]: query[A] lamssettings-pa.googleapis.com from 10.1.1.92
Mar 11 08:23:25 dnsmasq[33486]: query[AAAA] graph.instagram.com from 10.1.1.92
Mar 11 08:23:26 dnsmasq[33486]: query[A] graph.instagram.com from 10.1.1.92
Mar 11 08:23:43 dnsmasq[33486]: query[AAAA] pull-flv-f77-tt02.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:43 dnsmasq[33486]: query[A] pull-flv-f77-tt02.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:43 dnsmasq[33486]: query[AAAA] pull-f5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:43 dnsmasq[33486]: query[A] pull-f5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:43 dnsmasq[33486]: query[A] pull-a5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:43 dnsmasq[33486]: query[AAAA] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:23:43 dnsmasq[33486]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:09 dnsmasq[33486]: query[AAAA] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:09 dnsmasq[33486]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:10 dnsmasq[33486]: query[AAAA] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:10 dnsmasq[33486]: query[A] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:10 dnsmasq[33486]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:17 dnsmasq[33486]: query[AAAA] graph.instagram.com from 10.1.1.92
Mar 11 08:24:17 dnsmasq[33486]: query[A] graph.instagram.com from 10.1.1.92
Mar 11 08:24:28 dnsmasq[33486]: query[AAAA] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:28 dnsmasq[33486]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:24:44 dnsmasq[33486]: query[A] instagram.fslc3-1.fna.fbcdn.net from 10.1.1.92
