Feb 15 10:05:55 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:05:55 dnsmasq[416]: query[A] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:05:55 dnsmasq[416]: query[A] p16-sign-va.tiktokcdn.com from 10.1.1.92
Feb 15 10:05:56 dnsmasq[416]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:05:58 dnsmasq[416]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:03 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:13 dnsmasq[416]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:13 dnsmasq[416]: query[A] connectivitycheck.android.com from 10.1.1.92
Feb 15 10:06:14 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:14 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:06:15 dnsmasq[416]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:19 dnsmasq[416]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:30 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:06:32 dnsmasq[416]: query[A] pitaya.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:34 dnsmasq[416]: query[A] jsb16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:37 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:45 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:45 dnsmasq[416]: query[A] bsync.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:54 dnsmasq[416]: query[A] fonts.googleapis.com from 10.1.1.92
Feb 15 10:06:54 dnsmasq[416]: query[HTTPS] fonts.googleapis.com from 10.1.1.92
Feb 15 10:06:54 dnsmasq[416]: query[A] res.cloudinary.com from 10.1.1.92
