May 14 09:06:04 dnsmasq[208]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:06:11 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:06:11 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:06:13 dnsmasq[208]: query[AAAA] api16-core.tiktokv.com from 10.1.1.92
May 14 09:06:13 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:06:13 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:06:20 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:06:20 dnsmasq[208]: query[A] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:06:44 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:06:44 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:07:18 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:07:18 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:07:19 dnsmasq[208]: query[A] libra16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:07:28 dnsmasq[208]: query[AAAA] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:07:28 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:07:39 dnsmasq[208]: query[A] libra-va.tiktokv.com from 10.1.1.92
May 14 09:07:46 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:07:46 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:07:58 dnsmasq[208]: query[A] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:08:02 dnsmasq[208]: query[AAAA] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:08:02 dnsmasq[208]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:08:09 dnsmasq[208]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:08:12 dnsmasq[208]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:08:13 dnsmasq[208]: query[AAAA] graph.facebook.com from 10.1.1.92
May 14 09:08:13 dnsmasq[208]: query[A] graph.facebook.com from 10.1.1.92
May 14 09:08:17 dnsmasq[208]: query[AAAA] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:08:17 dnsmasq[208]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:08:18 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:08:18 dnsmasq[208]: query[AAAA] api22-core.tiktokv.com from 10.1.1.92
May 14 09:08:18 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:08:18 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:08:18 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:08:32 dnsmasq[208]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
May 14 09:08:47 dnsmasq[208]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
May 14 09:08:51 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:08:51 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:09:02 dnsmasq[208]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:09:22 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:09:22 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:09:37 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:09:37 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:09:53 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:09:53 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:10:02 dnsmasq[208]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
May 14 09:10:21 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:10:26 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:10:26 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:10:45 dnsmasq[208]: query[AAAA] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:10:45 dnsmasq[208]: query[A] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:11:28 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:11:28 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:11:36 dnsmasq[208]: query[AAAA] mediation.fyber.com from 10.1.1.92
May 14 09:11:36 dnsmasq[208]: query[A] mediation.fyber.com from 10.1.1.92
May 14 09:12:00 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:12:00 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:12:18 dnsmasq[208]: query[AAAA] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
May 14 09:12:18 dnsmasq[208]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
May 14 09:12:31 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:12:34 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:12:34 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:12:35 dnsmasq[208]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:12:36 dnsmasq[208]: query[AAAA] api16-core.tiktokv.com from 10.1.1.92
May 14 09:12:36 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:12:36 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:12:57 dnsmasq[208]: query[AAAA] web.facebook.com from 10.1.1.92
May 14 09:12:57 dnsmasq[208]: query[A] web.facebook.com from 10.1.1.92
May 14 09:12:58 dnsmasq[208]: query[AAAA] bsync.us.tiktokv.com from 10.1.1.92
